"","country","continent","year","lifeExp","pop","gdpPercap","gdpTotal"
"1","Afghanistan","Asia",1997,41.763,22227415,635.341351,14121995875.3377
"2","Albania","Europe",1997,72.95,3428038,3193.054604,10945912518.587
"3","Algeria","Africa",1997,69.152,29072015,4797.295051,139467033682.098
"4","Angola","Africa",1997,40.963,9875024,2277.140884,22486820880.8812
"5","Argentina","Americas",1997,73.275,36203463,10967.28195,397053586287.393
"6","Austria","Europe",1997,77.51,8069876,29095.92066,234800471832.038
"7","Bahrain","Asia",1997,73.925,598561,20292.01679,12146009861.8392
"8","Bangladesh","Asia",1997,59.412,123315288,972.7700352,119957417048.458
"9","Belgium","Europe",1997,77.53,10199787,27561.19663,281118335091.118
"10","Benin","Africa",1997,54.777,6066080,1232.975292,7479326759.29536
"11","Bolivia","Americas",1997,62.05,7693188,3326.143191,25588644883.2829
"12","Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904,17192245745.728
"13","Botswana","Africa",1997,52.556,1536536,8647.142313,13286645461.0478
"14","Brazil","Americas",1997,69.388,168546719,7957.980824,1341291557750.12
"15","Bulgaria","Europe",1997,70.32,8066057,5970.38876,48157496050.3193
"16","Burkina Faso","Africa",1997,50.324,10352843,946.2949618,9796843171.2064
"17","Burundi","Africa",1997,45.326,6121610,463.1151478,2835010319.92396
"18","Cambodia","Asia",1997,56.534,11782962,734.28517,8652054255.27354
"19","Cameroon","Africa",1997,52.199,14195809,1694.337469,24052491091.4674
"20","Canada","Americas",1997,78.61,30305843,28954.92589,877503438098.975
"21","Central African Republic","Africa",1997,46.066,3696513,740.5063317,2737291281.71136
"22","Chad","Africa",1997,51.573,7562011,1004.961353,7599528805.96088
"23","Chile","Americas",1997,75.816,14599929,10118.05318,147722858046.224
"24","China","Asia",1997,70.426,1230075000,2289.234136,2815929679840.2
"25","Colombia","Americas",1997,70.313,37657830,6117.361746,230366568679.371
"26","Comoros","Africa",1997,60.66,527982,1173.618235,619649302.95177
"27","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,14922290060.3391
"28","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,9758959756.46407
"29","Costa Rica","Americas",1997,77.26,3518107,6677.045314,23490559858.5006
"30","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407,26125858896.0236
"31","Croatia","Europe",1997,73.68,4444595,9875.604515,43893062449.3464
"32","Cuba","Americas",1997,76.151,10983007,5431.990415,59659588751.8779
"33","Czech Republic","Europe",1997,74.01,10300707,16048.51424,165311042971.568
"34","Denmark","Europe",1997,76.11,5283663,29804.34567,157476118455.789
"35","Djibouti","Africa",1997,53.157,417908,1895.016984,791942757.749472
"36","Dominican Republic","Americas",1997,69.957,7992357,3614.101285,28885187703.8787
"37","Ecuador","Americas",1997,72.312,11911819,7429.455877,88498333675.3103
"38","Egypt","Africa",1997,67.217,66134291,4173.181797,275990419358.701
"39","El Salvador","Americas",1997,69.535,5783439,5154.825496,29812618811.7607
"40","Equatorial Guinea","Africa",1997,48.245,439971,2814.480755,1238289912.25811
"41","Eritrea","Africa",1997,53.378,4058319,913.47079,3707155863.00201
"42","Ethiopia","Africa",1997,49.402,59861301,515.8894013,30881810733.9291
"43","Finland","Europe",1997,77.13,5134406,23723.9502,121808392250.581
"44","France","Europe",1997,78.64,58623428,25889.78487,1517747939261.93
"45","Gabon","Africa",1997,60.461,1126189,14722.84188,16580702573.9953
"46","Gambia","Africa",1997,55.861,1235767,653.7301704,807858171.484697
"47","Germany","Europe",1997,77.34,82011073,27788.88416,2278996207434.3
"48","Ghana","Africa",1997,58.556,18418288,1005.245812,18514906876.2099
"49","Greece","Europe",1997,77.869,10502372,18747.69814,196895300009.988
"50","Guatemala","Americas",1997,66.322,9803875,4684.313807,45924427024.6021
"51","Guinea","Africa",1997,51.455,8048834,869.4497668,6998056844.31191
"52","Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681,950984748.886715
"53","Haiti","Americas",1997,56.671,6913545,1341.726931,9276089515.1804
"54","Honduras","Americas",1997,67.659,5867957,3160.454906,18545413488.847
